,ID,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,MiddleTime,era5_new_date,era5_plusminus,era5_precip,era5_temp
25,28,30,AC-21,A,AC-21A,2018-03-30,85,85,-5.0,15.49256311,66.32241149,522072.9725,7355934.593,10:47:30,2018-03-31,plus,0.1,-8.2
335,476,49,AC-28,C,AC-28C,2023-03-26,45,45,-8.0,15.90602943,66.12572896,540917.8704,7334220.113,12:52:30,2023-03-27,plus,0.0,-14.2
29,30,32,AC-42,A,AC-42A,2018-03-29,85,85,-10.0,15.76098076,65.90840731,534661.4522,7309911.059,11:30:00,2018-03-30,plus,0.1,-7.2
33,33,35,AC-39,A,AC-39A,2018-03-15,80,80,-15.0,15.93640688,65.88145457,542696.2178,7307015.189,11:19:00,2018-03-16,plus,0.0,-17.6
35,34,36,AC-38,A,AC-38A,2018-03-15,85,85,-15.0,16.02861195,65.89659453,546872.4418,7308768.327,10:00:00,2018-03-16,plus,0.0,-17.6
27,29,31,AC-22,A,AC-22A,2018-03-30,80,80,-5.0,15.66018048,66.26705978,529649.2181,7349834.175,12:35:00,2018-03-31,plus,0.1,-8.2
337,477,50,AC-25,C,AC-25C,2023-03-27,130,130,-8.0,15.92966596,66.18915009,541880.3604,7341304.369,13:50:00,2023-03-28,plus,0.0,-15.2
330,463,35,AC-26,B,AC-26B,2023-03-25,40,40,-10.0,16.06001278,66.19911613,547733.1046,7342508.393,13:47:30,2023-03-26,plus,0.0,-13.6
39,38,40,AC-27,A,AC-27A,2018-03-28,240,240,-8.0,15.71649311,66.07877936,532418.2506,7328876.351,13:10:00,2018-03-29,plus,0.1,-9.0
40,39,41,AC-28,A,AC-28A,2018-03-28,140,140,-8.0,15.8491718,66.15323252,538308.6585,7337249.602,10:47:30,2018-03-29,plus,0.1,-9.0
23,27,29,AC-23,A,AC-23A,2018-03-30,75,75,-8.0,15.37146429,66.23064849,516707.0051,7345668.731,09:10:00,2018-03-31,plus,0.1,-8.2
41,40,42,AC-32,A,AC-32A,2018-03-28,155,155,-5.0,15.88210448,66.05188319,539953.2836,7325974.195,14:37:30,2018-03-29,plus,0.1,-9.0
42,41,43,AC-33,A,AC-33A,2018-03-28,135,135,-10.0,16.03670724,66.06518167,546930.7414,7327563.494,08:35:00,2018-03-29,plus,0.1,-9.0
329,462,34,AC-27,B,AC-27B,2023-03-11,40,40,-10.0,15.77325645,66.10627946,534948.6291,7331971.961,11:30:00,2023-03-12,plus,0.2,-13.9
44,42,44,AC-24,A,AC-24A,2018-03-30,90,90,-5.0,15.69390556,66.19086231,531257.926,7341357.54,14:02:30,2018-03-31,plus,0.1,-8.2
328,461,33,AC-29,B,AC-29B,2023-03-25,75,75,-8.0,16.13381444,66.1455831,551164.1776,7336600.318,12:42:30,2023-03-26,plus,0.0,-13.6
46,43,45,AC-25,A,AC-25A,2018-04-02,100,100,-5.0,15.84925843,66.20434872,538235.3079,7342946.922,15:20:00,2018-04-03,plus,0.0,-9.8
48,44,46,AC-26,A,AC-26A,2018-04-02,140,140,-5.0,16.04425364,66.16381694,547089.1167,7338562.269,13:45:00,2018-04-03,plus,0.0,-9.8
326,459,31,AC-32,B,AC-32B,2023-03-11,110,110,-10.0,15.96743701,66.06109946,543802.1738,7327058.39,10:12:30,2023-03-12,plus,0.2,-13.9
342,481,54,AC-33,C,AC-33C,2023-03-11,40,40,-20.0,16.08053297,66.03404496,548974.3517,7324126.804,08:50:00,2023-03-12,plus,0.2,-13.9
31,31,33,AC-37,A,AC-37A,2018-03-15,70,70,-15.0,15.84881121,65.9380027,538617.1852,7313260.876,12:55:00,2018-03-16,plus,0.0,-17.6
70,125,133,AC-32,A,AC-32A,2022-03-12,130,130,0.0,15.88210448,66.05188319,539953.2836,7325974.195,09:26:30,2022-03-13,plus,0.0,-3.4
346,485,58,AC-27,C,AC-27C,2023-03-11,230,230,-10.0,15.80351497,66.07257278,536364.3222,7328232.328,11:30:00,2023-03-12,plus,0.2,-13.9
309,435,7,AC-32,A,AC-32A,2023-03-11,120,120,-10.0,15.88210448,66.05188319,539953.2836,7325974.195,10:12:30,2023-03-12,plus,0.2,-13.9
86,133,141,AC-26,A,AC-26A,2022-03-14,135,135,-6.0,16.04425364,66.16381694,547089.1167,7338562.269,08:07:00,2022-03-15,plus,0.0,-4.5
