ID,ERA5_time,t2m,rsn,sd
475,2023-04-17T05,271.77234,267.3203,0.08911991
476,2023-03-26T12,261.7776,161.89842,0.066550255
477,2023-03-27T13,262.8462,163.03123,0.06553459
478,2023-03-27T11,260.3127,167.42186,0.07019234
479,2023-03-25T10,263.48877,149.65623,0.010710716
480,2023-03-25T11,265.7307,149.90623,0.010362625
481,2023-03-11T08,258.92776,132.71092,0.020793915
482,2023-03-11T10,263.61206,134.10155,0.020285606
483,2023-03-07T12,259.2472,127.39061,0.028438568
484,2023-03-25T12,262.11084,158.82811,0.050979614
485,2023-03-11T11,265.06396,134.35155,0.030883789
486,2023-03-25T13,262.58105,158.8828,0.050807953
487,2023-04-17T11,276.23486,258.14844,0.06943703
488,2023-04-13T06,272.69678,226.1328,0.06943703
489,2023-04-13T09,274.1427,233.87498,0.07277393
490,2023-03-12T07,256.8449,150.04686,0.0038557053
491,2023-03-12T08,260.5174,150.04686,0.0038776398
492,2023-03-06T11,262.28735,135.47655,0.017801285
493,2023-03-06T13,261.6243,136.28123,0.017495155
494,2023-03-07T11,261.15808,99.999985,0.00086021423
495,2023-03-07T09,259.6933,103.624985,0.0006952286
496,2023-03-07T08,258.4262,104.3828,0.00067424774
497,2023-03-06T09,260.3539,135.18748,0.028878212
498,2023-04-17T05,271.77234,267.3203,0.08911991
