ID,ERA5_time,era5_l_lai_hv,era5_l_lai_lv,era5_l_skt,era5_l_rsn,era5_l_sde,era5_l_sd,era5_l_tsn,tp
384,2021-04-12T13,4.220354,0.66932666,268.12793,314.17224,1.746092,0.54834783,265.53058,0.00013583348
385,2021-04-17T13,1.1291553,0.79175496,270.25555,328.1545,1.8076075,0.59326464,267.318,9.186317e-11
386,2021-04-17T13,0.45408773,0.75759107,269.9511,326.9368,1.792939,0.5860381,267.1871,9.186317e-11
387,2021-05-03T13,4.6834426,0.82301813,271.40457,354.65564,1.2685696,0.4494491,266.77084,2.4505052e-05
388,2021-05-03T13,4.9350867,0.74806017,270.4633,352.91455,1.4062694,0.4960257,266.01694,1.5404168e-05
389,2021-03-10T13,3.8382735,0.72876817,259.1825,274.34573,1.1777167,0.32286996,259.54703,6.6517016e-05
390,2021-03-15T13,3.766724,0.87730277,269.6645,276.47137,1.077151,0.29761547,268.27917,1.2602749e-05
391,2021-03-16T13,4.9074736,1.0697163,266.5795,278.5543,1.3105271,0.3649779,265.04068,8.191923e-05
392,2021-03-16T13,4.875818,1.0402949,266.57358,279.64917,1.3456788,0.37626457,265.2723,0.00017364146
393,2021-03-18T13,3.7433827,0.65855265,264.80975,287.14767,1.1220819,0.3221805,263.84964,0.0001288318
394,2021-03-18T13,3.406154,0.8629374,265.15405,287.14767,1.0937357,0.31408578,264.23438,0.00017714323
395,2021-03-18T13,4.0443025,0.76854926,264.4858,286.78986,1.1660215,0.3341822,263.45294,0.0001288318
396,2021-03-18T13,4.5052557,0.91920185,264.10678,286.05283,1.2138597,0.34700096,262.98035,0.00012953216
397,2021-03-26T13,3.8387313,0.8723301,272.71472,304.49466,1.067372,0.32458085,269.1946,2.8015102e-06
398,2021-03-26T13,3.974965,0.8586554,273.47452,303.4906,0.9931699,0.30131805,269.63705,2.1011556e-06
399,2021-03-26T13,4.3798532,0.73668754,271.9863,302.7429,1.123073,0.3397489,269.17422,2.8015102e-06
400,2021-03-26T13,4.7463727,0.57664216,270.76602,300.15793,1.1933764,0.35790458,267.97388,3.500002e-06
401,2021-03-28T13,4.6559825,0.77085143,269.2846,303.1381,1.2763664,0.38670856,268.6102,2.4505052e-05
402,2021-03-28T13,4.9377565,0.8792826,268.09064,298.8601,1.4218631,0.42483294,267.76575,7.2818344e-05
403,2021-04-12T13,4.8428655,0.5872781,267.9329,315.2671,1.467785,0.46247217,265.40765,6.37156e-05
404,2021-04-12T13,3.8366716,0.5685847,267.7336,314.26303,1.5585717,0.48946312,265.4232,7.841932e-05
405,2021-04-12T13,3.6542127,0.49427128,268.03043,314.18826,1.5761477,0.4951575,265.97034,8.822242e-05
406,2022-01-31T13,3.8571906,0.7469551,257.378,259.557,1.095718,0.28438807,259.38596,2.380656e-05
407,2022-02-19T13,3.4043996,0.8624309,261.1193,241.65457,1.2060628,0.2914614,259.76358,0.00012533003
408,2022-02-19T13,3.766724,0.87730277,261.47885,236.71965,1.1543263,0.2733057,260.25082,0.00012603038
409,2022-03-04T13,4.875818,1.0402949,264.37814,287.40405,1.532208,0.44010314,263.94196,9.803193e-06
410,2022-03-09T13,4.0443025,0.76854926,270.14362,284.3918,1.2685696,0.36045814,269.35083,6.3014204e-06
411,2022-03-12T13,4.9377565,0.8792826,264.67578,300.4944,1.5156231,0.45562866,264.8938,7.0044644e-07
412,2022-03-12T13,4.6716194,0.7992139,266.24963,299.04703,1.403296,0.41947052,265.69077,7.0044644e-07
413,2022-03-13T13,4.7463727,0.57664216,265.39148,294.1495,1.2548921,0.36906356,263.3482,7.0044644e-07
414,2022-03-13T13,4.3798532,0.73668754,267.11035,294.4913,1.1543263,0.33957013,264.70874,7.0044644e-07
415,2022-03-13T13,3.8261452,0.8686467,269.23965,293.20416,1.077151,0.31536257,265.89313,7.0044644e-07
416,2022-03-13T13,3.9714563,0.85681367,269.89938,292.56326,1.0175515,0.29779416,266.4274,7.0044644e-07
417,2022-03-14T13,1.0232803,0.7380228,263.76505,318.78137,1.8603352,0.5933157,262.15274,9.186317e-11
418,2022-03-14T13,3.6542127,0.49427128,265.91214,315.5395,1.5859267,0.5002646,263.6442,9.186317e-11
419,2022-03-14T13,3.8366716,0.5685847,264.99802,311.81158,1.541987,0.48080662,262.89114,9.186317e-11
420,2022-03-14T13,4.8428655,0.5872781,264.82587,307.7045,1.4384478,0.44275883,262.68613,9.186317e-11
421,2022-03-14T13,4.6559825,0.77085143,265.2948,301.10858,1.319315,0.3970504,262.83655,9.186317e-11
