ID,Triangle.x,Corner.x,Dates,SnowDepth,TriangleCorner,xcoord_EPSG_4326,ycoord_EPSG_4326
346,AC-30,C,2018-03-23,70,AC-30C,16.40948664,66.08242527
347,AC-34,C,2018-03-23,75,AC-34C,16.38630033,66.02781699
348,AC-35,C,2018-03-23,110,AC-35C,16.63015012,66.00485918
349,AC-36,C,2018-03-23,150,AC-36C,16.83500371,66.00692786
350,AC-43,C,2019-04-03,135,AC-43C,15.2080681,66.09142172
351,AC-46,C,2019-04-05,10,AC-46C,15.18055162,66.16762289
352,AC-32,C,2019-03-11,250+,AC-32C,15.94437763,66.0264787
353,AC-27,C,2019-03-11,210,AC-27C,15.80351497,66.07257278
354,AC-42,C,2019-03-11,110,AC-42C,15.68504701,65.89042994
355,AC-40,C,2019-03-03,NA,AC-40C,16.13319552,65.84112738
356,AC-39,C,2019-03-03,NA,AC-39C,15.99713695,65.85558969
357,AC-41,C,2019-03-03,NA,AC-41C,16.30759412,65.80478255
358,AC-33,C,2019-03-05,40,AC-33C,16.08053297,66.03404496
359,AC-31,C,2019-03-05,50,AC-31C,15.68346284,65.98772306
360,AC-38,C,2019-03-05,45,AC-38C,16.11606048,65.89957289
361,AC-37,C,2019-03-05,45,AC-37C,15.89264784,65.90691896
362,AC-28,C,2019-03-07,35,AC-28C,15.90602943,66.12572896
363,AC-35,C,2019-03-15,80,AC-35C,16.63015012,66.00485918
364,AC-36,C,2019-03-15,90,AC-36C,16.83500371,66.00692786
365,AC-26,C,2019-03-26,30,AC-26C,16.12773116,66.17593417
366,AC-25,C,2019-03-26,75,AC-25C,15.92966596,66.18915009
367,AC-24,C,2019-03-26,55,AC-24C,15.78131809,66.18466847
368,AC-29,C,2019-03-26,250,AC-29C,16.21388604,66.13022809
369,AC-34,C,2019-03-16,30,AC-34C,16.38630033,66.02781699
370,AC-30,C,2019-03-17,35,AC-30C,16.40948664,66.08242527
371,AC-22,C,2019-04-08,170,AC-22C,15.74886754,66.27024759
372,AC-21,C,2019-04-08,130,AC-21C,15.54403889,66.2931197
373,AC-22,C,2019-04-11,NA,AC-22C,15.74886754,66.27024759
374,AC-29,C,2019-04-11,NA,AC-29C,16.21388604,66.13022809
375,AC-23,C,2019-04-08,60,AC-23C,15.40240613,66.19702191
376,AC-33,C,2020-02-26,70,AC-33C,16.08053297,66.03404496
377,AC-42,C,2020-02-27,135,AC-42C,15.68504701,65.89042994
378,AC-40,C,2020-03-19,230+,AC-40C,16.13319552,65.84112738
379,AC-41,C,2020-03-19,220,AC-41C,16.30759412,65.80478255
