,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,temperature,x_4326,y_4326,x_3006,y_3006
194,202,AC-46,B,AC-46B,2019-04-05,125,-5.0,15.26675247,66.15918547,512031.4368,7337679.111
195,203,AC-32,B,AC-32B,2019-03-11,58,-15.0,15.96743701,66.06109946,543802.1738,7327058.39
196,204,AC-27,B,AC-27B,2019-03-11,30,-15.0,15.77325645,66.10627946,534948.6291,7331971.961
197,205,AC-42,B,AC-42B,2019-03-11,90,-10.0,15.76104404,65.87253495,534712.811,7305912.951
198,209,AC-33,B,AC-33B,2019-03-05,10,-10.0,16.12502754,66.06502455,550928.8997,7327614.924
199,210,AC-31,B,AC-31B,2019-03-05,50,-15.0,15.63274264,66.01705338,528698.4479,7321955.65
200,211,AC-38,B,AC-38B,2019-03-05,80,-20.0,16.06601119,65.92904529,548515.1091,7312413.359
201,212,AC-37,B,AC-37B,2019-03-05,40,-17.0,15.93669383,65.93795328,542615.3144,7313312.254
202,213,AC-28,B,AC-28B,2019-03-07,30,-15.0,15.93648025,66.15941633,542236.8719,7337994.957
203,214,AC-35,B,AC-35B,2019-03-15,135,-10.0,16.55437651,66.02318273,570477.9784,7323367.637
204,215,AC-36,B,AC-36B,2019-03-15,65,-10.0,16.76838233,66.0304171,580156.6735,7324430.853
205,216,AC-26,B,AC-26B,2019-03-26,75,-10.0,16.06001278,66.19911613,547733.1046,7342508.393
206,217,AC-25,B,AC-25B,2019-03-26,45,-10.0,15.92210788,66.22488338,541481.2433,7345282.029
207,218,AC-24,B,AC-24B,2019-03-26,30,-8.0,15.75089585,66.21837029,533788.2675,7344453.175
208,219,AC-29,B,AC-29B,2019-03-26,75,-10.0,16.13381444,66.1455831,551164.1776,7336600.318
209,220,AC-34,B,AC-34B,2019-03-16,150,-4.0,16.41726798,66.06140904,564165.8276,7327480.284
210,221,AC-30,B,AC-30B,2019-03-17,145,-20.0,16.3475215,66.10802569,560896.7912,7332605.764
211,222,AC-22,B,AC-22B,2019-04-08,160,,15.6976547,66.29959822,531291.7265,7353479.21
212,223,AC-21,B,AC-21B,2019-04-08,170,-8.0,15.58142379,66.32569497,526051.5524,7356334.762
213,226,AC-23,B,AC-23B,2019-04-08,185,-10.0,15.45909231,66.2246367,520653.0315,7345024.777
214,227,AC-33,B,AC-33B,2020-02-26,90,-15.0,16.12502754,66.06502455,550928.8997,7327614.924
215,228,AC-42,B,AC-42B,2020-02-27,130,-15.0,15.76104404,65.87253495,534712.811,7305912.951
216,229,AC-40,B,AC-40B,2020-03-19,125,-5.0,16.17741866,65.87209272,553703.9877,7306156.875
217,230,AC-41,B,AC-41B,2020-03-19,210,-5.0,16.35196411,65.83569752,561751.7168,7302261.377
218,231,AC-37,B,AC-37B,2020-04-05,120,-15.0,15.93669383,65.93795328,542615.3144,7313312.254
219,232,AC-38,B,AC-38B,2020-04-05,130,-10.0,16.06601119,65.92904529,548515.1091,7312413.359
220,233,AC-39,B,AC-39B,2020-04-06,170,-10.0,16.0215596,65.89003991,546562.9883,7308032.57
221,234,AC-36,B,AC-36B,2020-04-21,90,-2.0,16.76838233,66.0304171,580156.6735,7324430.853
222,235,AC-35,B,AC-35B,2020-04-22,160,-6.0,16.55437651,66.02318273,570477.9784,7323367.637
223,236,AC-28,B,AC-28B,2020-04-27,60,-1.0,15.93648025,66.15941633,542236.8719,7337994.957
224,237,AC-23,B,AC-23B,2020-04-28,125,-3.0,15.45909231,66.2246367,520653.0315,7345024.777
225,238,AC-22,B,AC-22B,2020-04-28,240+,-1.0,15.6976547,66.29959822,531291.7265,7353479.21
